pair_id,group_id,doc_id,target,title,text_len,mean_text_len,var_text_len
1,1,15731,0,"['ваз', 'замена', 'подшипник', 'ступица', 'нива']",602.0,2023.5980392156862,11897619.39128325
2,1,14829,0,"['ваз', 'оптом', 'сочи', 'сравнить', 'цена', 'купить', 'потребительский', 'товар', 'tiu.ru']",1829.0,2023.5980392156862,11897619.39128325
3,1,15764,0,"['купить', 'ступица', 'лада', 'калина2', 'трансмиссия', 'переходный', 'ступица', 'цена', 'замена', 'тюнинг']",1577.0,2023.5980392156862,11897619.39128325
4,1,17669,0,['классика'],4455.0,2023.5980392156862,11897619.39128325
5,1,14852,0,"['ступица', 'нива', 'замена', 'подшипник', 'свой', 'рука']",643.0,2023.5980392156862,11897619.39128325
6,1,15458,0,['ваз'],4418.0,2023.5980392156862,11897619.39128325
7,1,14899,0,"['обзор', 'подшипник', 'полуось', 'ваз', '2101-07']",480.0,2023.5980392156862,11897619.39128325
8,1,16879,0,"['купить', 'подшипник', 'ступица', 'fag', 'страница']",1153.0,2023.5980392156862,11897619.39128325
9,1,16310,0,"['horsepowers', 'автомобильный', 'интернет', 'портал', 'отзыв', 'владелец', 'ваз', 'нива', 'год']",782.0,2023.5980392156862,11897619.39128325
10,1,15440,0,"['новость', 'сообщение', 'официальный', 'группа', 'вконтакте', 'торговый', 'компания', 'sport', 'магазин', 'тольятти']",3432.0,2023.5980392156862,11897619.39128325
11,1,16242,0,"['инструкция', 'замена', 'подшипник', 'передний', 'ступица', 'ивеко', 'дейли', 'через', 'dorognoekam.ru']",318.0,2023.5980392156862,11897619.39128325
12,1,16383,0,"['ступица', 'olx.ua', 'страница']",1103.0,2023.5980392156862,11897619.39128325
13,1,15580,0,"['маааленький', 'проблёмкий', 'бортжурнал', 'автокам', 'год', 'drive2']",1072.0,2023.5980392156862,11897619.39128325
14,1,16840,0,"['разгрузить', 'полуось', 'для', 'нива', 'шлиц', 'мм']",1947.0,2023.5980392156862,11897619.39128325
15,1,17519,0,"['прошивка', 'для', 'нива', 'м7.9.7', 'скачать', 'файлообменник', 'emqraty6.foxkirov.ru']",31329.0,2023.5980392156862,11897619.39128325
16,1,15185,0,"['страница', 'раздел', 'каталог', 'подвеска']",804.0,2023.5980392156862,11897619.39128325
17,1,15016,0,"['продать', 'нива']",924.0,2023.5980392156862,11897619.39128325
18,1,17796,0,"['рекомендация', 'проведение', 'независимый', 'экспертиза', 'осаго']",12919.0,2023.5980392156862,11897619.39128325
19,1,17507,0,"['втулка', 'подшипник', 'омск', 'сравнить', 'цена', 'поставщик', 'промышленный', 'товар', 'tiu.ru']",1916.0,2023.5980392156862,11897619.39128325
20,1,16929,0,"['шевроле', 'блейзер', 'елабуга', 'руководство', 'эксплуатация', 'инструкция', 'совет']",3037.0,2023.5980392156862,11897619.39128325
21,1,17389,0,"['привод', 'шрусый', 'пыльник', 'шрусый', 'страница']",2953.0,2023.5980392156862,11897619.39128325
22,1,16272,0,"['автомобиль', 'маз', 'калининград', 'интернет-магазин', 'компания', 'стоимость', 'каталог', 'купить', 'автомобиль', 'маз', 'цена', 'сайт', 'propartner']",827.0,2023.5980392156862,11897619.39128325
23,1,16057,0,"['ваз-2103', 'украина', 'сравнить', 'цена', 'купить', 'потребительский', 'товар', 'prom.ua', 'стр']",2866.0,2023.5980392156862,11897619.39128325
24,1,15641,0,"['купить', 'подшипник', 'цена', 'до', 'руб', 'киров', 'магазин', 'город', 'страница']",592.0,2023.5980392156862,11897619.39128325
25,1,17356,0,"['купить', 'запчасть', 'ваз', 'воронеж', 'доска', 'объявление', 'камелот']",1538.0,2023.5980392156862,11897619.39128325
26,1,15222,0,"['опора', 'передний', 'амортизатор', 'какой', 'выбрать', 'подвеска']",1928.0,2023.5980392156862,11897619.39128325
27,1,16105,0,"['подшипник', 'лада', 'ваз', 'красноярск']",412.0,2023.5980392156862,11897619.39128325
28,1,17781,0,"['автозапчасть', 'тендер', 'торг', 'закупка', 'национальный', 'тендерный', 'портал', 'tenderguru.ru']",4885.0,2023.5980392156862,11897619.39128325
29,1,15763,1,"['замена', 'регулировка', 'передний', 'ступичный', 'подшипник', 'нива', 'нива', 'ремонт']",659.0,2023.5980392156862,11897619.39128325
